Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0012497,-0.00025077,0.063201,0,0,0,8.4217,0.075155,-0.00014056,0.0019411,0.098277,-4.3491E-05,0.14184,0,0,0,0,0,0,package://sizu_new/meshes/base_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://sizu_new/meshes/base_link.STL,,RS4四足_载荷.stp-1/身体外壳.stp-1;RS4四足_载荷.stp-1/铝型材欧标1020.stp-2;RS4四足_载荷.stp-1/铝型材欧标1020.stp-1;RS4四足_载荷.stp-1/尾巴碳板.stp-1;RS4四足_载荷.stp-1/尾巴支架.stp-1;RS4四足_载荷.stp-1/Szilárdtest.stp-1;RS4四足_载荷.stp-1/尾巴碳板2.stp-1;RS4四足_载荷.stp-1/头尾支架与装饰.stp-1;RS4四足_载荷.stp-1/髋关节支架.stp-2;RS4四足_载荷.stp-1/头尾碳板支架.stp-1;RS4四足_载荷.stp-1/身体支钉.stp-1;RS4四足_载荷.stp-1/身体支钉.stp-2;RS4四足_载荷.stp-1/身体支钉.stp-4;RS4四足_载荷.stp-1/身体支钉.stp-3;RS4四足_载荷.stp-1/髋关节支架.stp-1;RS4四足_载荷.stp-1/髋关节.stp-1;RS4四足_载荷.stp-1/髋关节_MIR.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left1_1_link,0.050832,-0.011343,-0.0001722,0,0,0,0.59378,0.0007076,0.00012353,-1.6582E-06,0.0013345,3.34E-07,0.00093154,0,0,0,0,0,0,package://sizu_new/meshes/left1_1_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://sizu_new/meshes/left1_1_link.STL,,RS4四足_载荷.stp-1/髋关节中间支架.stp-1;RS4四足_载荷.stp-1/RS04.stp-2;RS4四足_载荷.stp-1/髋关节.stp-1,left1_1,Roll_left1_1,left1_1_joint,revolute,0.18256,0.087,0.062,0,0,0,base_link,1,0,0,40,25,-0.873,0.873,,,,,,,,
left1_2_link,-0.011397,0.071514,-0.085657,0,0,0,1.334,0.010006,6.0108E-06,-0.00052487,0.011081,-7.5327E-08,0.0011631,0,0,0,0,0,0,package://sizu_new/meshes/left1_2_link.STL,0.7451,0.73725,0.72941,1,0,0,0,0,0,0,package://sizu_new/meshes/left1_2_link.STL,,RS4四足_载荷.stp-1/RS04.stp-1;RS4四足_载荷.stp-1/大腿.stp-1;RS4四足_载荷.stp-1/膝关节电机固定.stp-1;RS4四足_载荷.stp-1/膝关节电机输出法兰.stp-1;RS4四足_载荷.stp-1/拉杆.stp-1,left1_2,Roll_left1_2,left1_2_joint,revolute,0.0785000000000005,0.0105000000000026,0,0,0,0,left1_1_link,0,1,0,40,25,-0.516,2.478,,,,,,,,
left1_3_link,0.13302,-0.021113,0.0026327,0,0,0,0.45786,0.000144,7.1837E-05,-0.00010396,0.0043068,2.4937E-08,0.0042225,0,0,0,0,0,0,package://sizu_new/meshes/left1_3_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://sizu_new/meshes/left1_3_link.STL,,RS4四足_载荷.stp-1/小腿.stp-1;RS4四足_载荷.stp-1/小腿膝关节内侧.stp-1;RS4四足_载荷.stp-1/软足端.stp-1,left1_3,Roll_left1_3,left1_3_joint,revolute,0,0.109,-0.275,0,0.097237,0,left1_2_link,0,-1,0,40,25,-1.373,1.046,,,,,,,,
right1_1_link,0.050823,0.011343,-0.00016782,0,0,0,0.59378,0.00070746,-0.00012354,-1.4594E-06,0.0013345,-3.3563E-07,0.0009317,0,0,0,0,0,0,package://sizu_new/meshes/right1_1_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://sizu_new/meshes/right1_1_link.STL,,RS4四足_载荷.stp-1/髋关节中间支架_MIR.stp-1;RS4四足_载荷.stp-1/RS04_MIR.stp-2;RS4四足_载荷.stp-1/髋关节_MIR.stp-1,right1_1,Roll_right1_1,right1_1_joint,revolute,0.18256,-0.087,0.062,0,0,0,base_link,-1,0,0,40,25,-0.873,0.873,,,,,,,,
right1_2_link,-0.011208,-0.071586,-0.085463,0,0,0,1.3375,0.01001,-6.1406E-06,-0.00052271,0.011085,-2.632E-08,0.0011639,0,0,0,0,0,0,package://sizu_new/meshes/right1_2_link.STL,0.7451,0.73725,0.72941,1,0,0,0,0,0,0,package://sizu_new/meshes/right1_2_link.STL,,RS4四足_载荷.stp-1/RS04_MIR.stp-1;RS4四足_载荷.stp-1/大腿_MIR.stp-1;RS4四足_载荷.stp-1/膝关节电机固定.stp-3;RS4四足_载荷.stp-1/膝关节电机输出法兰.stp-4;RS4四足_载荷.stp-1/拉杆.stp-4,right1_2,Roll_right1_2,right1_2_joint,revolute,0.0784999999999972,-0.0104999999999987,0,0,0,0,right1_1_link,0,1,0,40,25,-0.516,2.478,,,,,,,,
right1_3_link,0.13302,0.021112,0.0026328,0,0,0,0.45785,0.000144,-7.1849E-05,-0.00010396,0.0043067,-2.0549E-08,0.0042224,0,0,0,0,0,0,package://sizu_new/meshes/right1_3_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://sizu_new/meshes/right1_3_link.STL,,RS4四足_载荷.stp-1/小腿_MIR.stp-1;RS4四足_载荷.stp-1/软足端_MIR.stp-2;RS4四足_载荷.stp-1/小腿膝关节内侧_MIR.stp-1,right1_3,Roll_right1_3,right1_3_joint,revolute,0,-0.109,-0.275,0,0.097237,0,right1_2_link,0,1,0,40,25,-1.373,1.046,,,,,,,,
left2_1_link,-0.050908,-0.01109,0.00020244,0,0,0,0.60016,0.00071371,-0.00012354,-2.5385E-06,0.0013409,-3.3586E-07,0.00093183,0,0,0,0,0,0,package://sizu_new/meshes/left2_1_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://sizu_new/meshes/left2_1_link.STL,,RS4四足_载荷.stp-1/髋关节.stp-2;RS4四足_载荷.stp-1/RS04.stp-5;RS4四足_载荷.stp-1/髋关节中间支架后.stp-2,left2_1,Roll_left2_1,left2_1_joint,revolute,-0.22344,0.087,0.062,0,0,0,base_link,-1,0,0,40,25,-0.873,0.873,,,,,,,,
left2_2_link,-0.01131,0.071514,-0.085934,0,0,0,1.334,0.010009,4.8532E-06,-0.0005232,0.011081,-1.1731E-07,0.00116,0,0,0,0,0,0,package://sizu_new/meshes/left2_2_link.STL,0.7451,0.73725,0.72941,1,0,0,0,0,0,0,package://sizu_new/meshes/left2_2_link.STL,,RS4四足_载荷.stp-1/RS04.stp-4;RS4四足_载荷.stp-1/大腿.stp-2;RS4四足_载荷.stp-1/膝关节电机固定.stp-4;RS4四足_载荷.stp-1/拉杆.stp-2;RS4四足_载荷.stp-1/膝关节电机输出法兰.stp-2,left2_2,Roll_left2_2,left2_2_joint,revolute,-0.0784999999999971,0.0105000000000021,0,0,0,0,left2_1_link,0,1,0,40,25,-0.516,2.478,,,,,,,,
left2_3_link,0.13302,-0.021113,0.0026327,0,0,0,0.45786,0.000144,7.1837E-05,-0.00010396,0.0043068,2.4941E-08,0.0042225,0,0,0,0,0,0,package://sizu_new/meshes/left2_3_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://sizu_new/meshes/left2_3_link.STL,,RS4四足_载荷.stp-1/小腿.stp-2;RS4四足_载荷.stp-1/软足端.stp-2;RS4四足_载荷.stp-1/小腿膝关节内侧.stp-2,left2_3,Roll_left2_3,left2_3_joint,revolute,0,0.109,-0.275,0,0.081436,0,left2_2_link,0,1,0,40,25,-1.373,1.046,,,,,,,,
